seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,0,1,1,0,1,8.12889,0.319945,1.078
2,100,1,1,0,1,0,1,11.1156,0.321526,1.444
3,100,1,1,0,1,0,1,9.13333,0.310347,1.27067
4,100,1,1,0,1,0,1,9.67556,0.328285,1.25489
5,100,1,1,0,1,0,0,9.91556,0.315894,1.27111
6,100,1,1,0,1,0,1,11.2756,0.292321,1.34844
7,100,0,1,1,1,1,1,13.5156,0.307634,1.68578
8,100,1,1,1,1,1,1,9.4,0.304496,1.30844
9,100,0,1,1,1,0,1,7.14667,0.323334,1.07156
10,100,1,0,0,1,1,1,7.71111,0.308477,1.134
11,100,1,1,0,1,1,1,10.8578,0.292198,1.38311
12,100,1,1,0,1,1,1,10.72,0.303816,1.388
13,100,1,1,0,1,0,1,7.73778,0.320245,1.04667
14,100,0,1,1,1,0,1,12.2356,0.289333,1.50733
15,100,1,1,1,1,0,1,7.89333,0.32894,1.15267
16,100,1,1,1,1,0,1,9.71556,0.289307,1.22467
17,100,0,0,0,1,0,1,11.2356,0.329832,1.46533
18,100,1,1,0,1,1,1,9.92,0.30153,1.37644
19,100,1,1,0,1,0,0,12.9244,0.30289,1.52844
20,100,1,1,1,1,0,0,9.82667,0.338984,1.32289
21,100,1,1,1,1,0,1,11.9111,0.333767,1.46644
22,100,1,1,0,1,0,1,10.2444,0.311816,1.28156
23,100,0,1,0,1,1,1,10.4844,0.285802,1.27244
24,100,1,1,1,1,1,0,8.18222,0.320558,1.12956
25,100,1,1,0,1,0,0,9.28,0.346906,1.25533
26,100,0,1,0,1,0,1,8.71111,0.322011,1.15933
27,100,1,1,1,1,0,1,11.68,0.307863,1.42267
28,100,0,1,0,1,0,1,8.03111,0.317242,1.12089
29,100,0,1,1,1,0,1,13.0978,0.328487,1.50533
30,100,1,1,0,1,0,1,11.9156,0.318427,1.52289
