seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,0,1,1,1,1,1,4.04,4.54058,1.896
2,100,1,1,0,0,1,1,3.6,2.4797,1.6
3,100,1,1,1,0,0,1,4.8,2.51262,2.21
4,100,1,1,1,0,1,0,3.6,2.97587,1.654
5,100,0,1,1,1,0,1,4.04,3.02992,1.84
6,100,1,1,0,0,0,1,4.4,3.42493,2.286
7,100,1,0,0,1,0,1,3.24,4.09074,1.876
8,100,1,0,1,1,1,1,4.48,2.14015,2.08
9,100,1,1,1,1,0,1,3.56,2.47672,1.9
10,100,1,1,1,0,1,1,3.88,3.197,2.014
11,100,1,1,1,0,1,1,4.72,2.92058,2.08
12,100,1,1,0,0,1,1,3.68,3.13065,1.76
13,100,1,1,1,0,1,1,3.44,2.32052,1.768
14,100,0,1,1,0,0,0,3.28,3.36215,1.828
15,100,0,1,1,1,0,1,3.68,2.6534,1.614
16,100,1,1,1,0,1,1,3.28,3.33125,1.76
17,100,1,1,1,1,0,1,3.64,2.67409,1.738
18,100,1,1,0,0,1,1,3.72,2.7068,1.912
19,100,0,1,1,0,1,1,5.08,3.59231,2.432
20,100,0,1,0,1,1,1,4,3.84089,1.96
21,100,0,1,1,0,0,1,4.16,3.54097,1.808
22,100,1,1,0,0,1,1,3.52,3.4841,1.858
23,100,1,0,0,0,1,0,4.08,2.32598,1.858
24,100,1,1,0,0,0,1,3.76,3.17581,1.68
25,100,0,1,1,0,1,1,4,2.47141,1.646
26,100,1,1,1,0,1,0,3.76,2.51403,1.744
27,100,0,1,1,0,0,0,5.64,3.14279,2.44
28,100,0,1,0,1,0,1,4.4,3.54885,1.728
29,100,1,1,1,0,1,1,4,2.48985,1.928
30,100,1,1,1,0,0,1,3.8,2.3643,1.662
