seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,1,1,1,0,1,7.384,0.575825,1.3368
2,100,1,1,1,1,0,1,8.048,0.573273,1.4748
3,100,1,1,0,1,1,1,6.36,0.547336,1.3292
4,100,1,1,0,1,1,1,7.216,0.600359,1.3428
5,100,0,1,0,1,0,0,6.808,0.543677,1.2196
6,100,0,1,0,1,1,1,8.728,0.56144,1.5472
7,100,1,1,1,1,0,1,7.688,0.589483,1.4328
8,100,1,1,0,1,0,1,7.544,0.563267,1.4064
9,100,1,1,1,1,0,1,6.256,0.548291,1.1976
10,100,1,1,0,1,0,1,6.768,0.532955,1.322
11,100,1,1,1,1,0,1,6.336,0.542387,1.1624
12,100,0,1,1,1,1,0,6.504,0.582717,1.2916
13,100,1,1,0,1,0,1,7.384,0.516924,1.3652
14,100,0,1,0,1,0,0,9.768,0.524017,1.6732
15,100,1,1,1,1,1,1,7.824,0.596598,1.4288
16,100,1,1,1,0,0,1,7,0.485427,1.1832
17,100,1,1,1,1,0,0,6.968,0.608175,1.3004
18,100,1,1,1,1,1,1,5.688,0.543548,1.1456
19,100,1,1,1,1,0,1,6.896,0.500899,1.364
20,100,0,1,0,1,0,1,8.8,0.547942,1.572
21,100,0,1,0,1,0,1,8.168,0.532976,1.446
22,100,0,1,1,1,0,1,5.792,0.613606,1.1016
23,100,1,1,1,1,1,1,5.016,0.511295,0.9748
24,100,1,1,1,1,1,0,7.888,0.588844,1.47
25,100,1,1,0,1,1,1,7.064,0.592303,1.3876
26,100,0,1,0,1,1,1,5.536,0.568229,1.1144
27,100,1,1,1,1,0,0,7.6,0.553785,1.3616
28,100,1,1,1,1,0,0,6.896,0.557433,1.3528
29,100,1,1,0,1,0,1,8.696,0.591018,1.498
30,100,0,0,1,1,1,1,8.2,0.582749,1.4564
