seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,0,1,1,0,1,9.828,0.28294,1.1888
2,100,0,1,0,1,0,1,9.432,0.28988,1.1498
3,100,0,1,0,1,1,1,12.156,0.296807,1.404
4,100,0,1,0,1,0,0,11.24,0.302358,1.3958
5,100,1,1,0,1,0,1,10.524,0.280077,1.3378
6,100,0,1,1,1,0,1,13.64,0.278115,1.5692
7,100,1,0,0,1,0,1,12.796,0.274854,1.4944
8,100,1,1,1,1,1,0,7.04,0.289702,1.007
9,100,0,1,1,1,1,1,13.136,0.263769,1.5228
10,100,0,1,0,1,0,0,11.8,0.282826,1.416
11,100,1,1,0,1,0,1,9.604,0.271684,1.2094
12,100,0,0,1,1,0,0,8.84,0.273093,1.1116
13,100,1,0,1,1,0,1,13.44,0.274235,1.5572
14,100,1,1,0,1,0,1,9.48,0.297366,1.2252
15,100,1,1,0,1,1,0,11.328,0.274304,1.3204
16,100,1,1,0,1,0,1,12.448,0.299984,1.4918
17,100,1,1,0,1,0,1,11.768,0.2892,1.3296
18,100,0,1,0,1,0,0,12.288,0.268963,1.4342
19,100,1,1,0,1,0,1,11.28,0.288832,1.414
20,100,0,0,1,1,0,1,7.432,0.280153,1.0386
21,100,1,1,1,1,1,1,9.136,0.288564,1.1146
22,100,1,1,0,1,1,0,12.536,0.287682,1.4396
23,100,1,1,0,1,0,0,8.548,0.282528,1.1198
24,100,0,1,1,1,0,1,11.54,0.273064,1.373
25,100,1,1,1,1,1,1,8.82,0.279529,1.1886
26,100,0,1,0,1,1,1,9.432,0.273756,1.2634
27,100,1,0,1,1,0,1,9.664,0.298715,1.2846
28,100,1,1,0,1,0,1,9.488,0.263335,1.1584
29,100,1,1,0,1,0,0,14.224,0.290257,1.5552
30,100,0,1,0,1,0,1,10.404,0.297419,1.2376
