seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,0,0,1,1,1,9.23,0.350312,1.31525
2,100,1,1,0,1,0,1,8.09,0.344467,1.16475
3,100,1,1,1,1,0,1,12.665,0.377718,1.57325
4,100,1,1,0,1,0,1,7.705,0.34853,1.1805
5,100,1,0,1,1,1,1,8.565,0.358445,1.23325
6,100,0,1,0,1,0,0,11.345,0.359177,1.48675
7,100,0,1,0,1,1,0,8.635,0.35979,1.322
8,100,1,1,0,1,1,0,7.07,0.36604,1.07625
9,100,1,1,1,1,1,0,7.895,0.341746,1.1565
10,100,1,1,0,1,0,0,9.165,0.365483,1.30925
11,100,1,0,0,1,1,1,9.195,0.343619,1.21525
12,100,0,1,1,1,0,1,10.245,0.343169,1.3055
13,100,1,0,1,1,0,1,6.57,0.345794,0.96775
14,100,1,1,1,1,0,1,7.625,0.327649,1.16625
15,100,1,1,0,1,1,1,8.665,0.379523,1.30375
16,100,1,1,1,1,0,1,10.77,0.362863,1.48875
17,100,1,1,0,1,0,1,8.94,0.352241,1.30625
18,100,1,0,1,1,0,1,7.225,0.32794,1.07425
19,100,1,1,1,1,0,1,11.03,0.359267,1.399
20,100,0,0,1,1,1,1,9.42,0.36263,1.3445
21,100,1,1,1,1,0,1,10.295,0.346843,1.40775
22,100,1,0,0,1,1,0,8.74,0.341074,1.24325
23,100,1,1,0,1,0,1,11.095,0.361506,1.40425
24,100,1,1,0,1,0,1,9.83,0.327621,1.3435
25,100,1,0,0,1,1,1,8.705,0.369554,1.342
26,100,1,0,0,1,1,1,9.425,0.36312,1.38925
27,100,0,1,1,1,0,0,13.785,0.363964,1.69325
28,100,0,1,1,1,1,1,9.675,0.325272,1.383
29,100,1,1,0,1,0,1,11.8,0.340171,1.5285
30,100,1,1,1,1,1,1,9.085,0.357134,1.232
