seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,1,1,1,1,1,16.9413,0.206267,1.62147
2,100,1,1,0,0,1,1,18.7787,0.197127,1.65267
3,100,0,1,0,1,0,1,25.9973,0.199183,2.25787
4,100,0,1,1,1,1,1,18.5493,0.19037,1.75227
5,100,1,1,1,1,1,1,15.4853,0.207214,1.45053
6,100,0,1,0,1,1,0,15.4027,0.185406,1.45773
7,100,0,0,0,1,0,1,13.6453,0.194127,1.26187
8,100,1,1,0,1,0,1,13.3413,0.203045,1.34387
9,100,1,0,0,1,0,1,17.096,0.187066,1.5848
10,100,1,1,0,1,0,1,18.3093,0.192741,1.60413
11,100,1,0,0,1,0,1,12.9813,0.189041,1.284
12,100,1,1,0,1,0,1,21.904,0.192645,2.01067
13,100,0,0,0,1,0,1,18.8213,0.19427,1.688
14,100,1,1,0,1,0,1,12.2987,0.205736,1.21253
15,100,0,1,0,1,0,1,18.256,0.183698,1.67067
16,100,1,1,0,0,0,1,21.3707,0.202379,1.96787
17,100,1,1,0,1,0,0,18.376,0.202716,1.67
18,100,1,0,0,1,0,1,23.08,0.186916,2.07733
19,100,1,1,0,1,1,1,18.1947,0.200181,1.68733
20,100,0,0,0,0,0,0,18.448,0.194951,1.76213
21,100,1,1,1,1,0,1,14.272,0.199066,1.32387
22,100,1,1,0,0,0,1,14.992,0.197077,1.4104
23,100,1,1,0,1,0,0,21.456,0.206249,1.9156
24,100,0,1,1,1,0,1,18.296,0.191045,1.63987
25,100,1,1,0,0,0,1,19.648,0.178691,1.83973
26,100,1,1,1,1,0,1,14.0693,0.195535,1.40347
27,100,1,1,0,1,1,1,14.4667,0.189785,1.3684
28,100,1,1,0,0,0,1,17.6027,0.168919,1.68867
29,100,0,1,0,1,0,1,19.0347,0.194458,1.76413
30,100,1,1,0,1,0,1,20.024,0.178174,1.88787
