seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,1,0,1,1,1,4.85333,0.957555,1.286
2,100,0,1,1,1,1,0,6.29333,0.924275,1.48533
3,100,1,1,0,0,0,1,5.30667,0.908724,1.35867
4,100,1,1,1,1,0,0,5.01333,0.932034,1.25333
5,100,1,1,0,0,0,1,5.30667,0.982578,1.29
6,100,1,1,1,1,0,0,7.65333,0.947706,1.71867
7,100,0,1,1,1,0,1,3.62667,0.916063,1.02
8,100,1,1,1,1,0,1,7.62667,0.927577,1.818
9,100,1,1,1,1,1,1,8.12,0.843328,1.738
10,100,1,1,1,0,0,0,6.64,0.769903,1.586
11,100,1,1,0,1,0,0,6.05333,1.0145,1.42467
12,100,0,1,1,1,1,1,5.48,0.955187,1.41133
13,100,0,1,1,1,0,1,7.25333,0.985139,1.80133
14,100,1,1,1,0,0,1,6.28,0.91953,1.47067
15,100,1,1,1,0,1,0,4.76,0.939419,1.27733
16,100,1,1,1,1,1,0,4.86667,0.788152,1.28333
17,100,1,1,0,1,1,1,6.42667,0.927911,1.40933
18,100,1,1,1,1,0,1,4.36,0.944404,1.222
19,100,1,1,1,1,1,1,7.68,1.00167,1.74067
20,100,0,1,1,1,0,1,5.58667,0.872234,1.44067
21,100,1,1,1,1,1,1,6.68,0.953771,1.57533
22,100,0,1,0,0,1,1,6.22667,1.15012,1.452
23,100,1,1,1,1,1,0,7.50667,0.882359,1.81467
24,100,1,1,1,1,1,1,5,0.926335,1.25133
25,100,1,1,1,1,0,1,6.50667,1.10318,1.502
26,100,1,1,1,1,0,0,4.53333,0.947013,1.184
27,100,0,1,0,1,0,1,5.50667,0.844431,1.39
28,100,1,1,0,1,0,1,3.88,1.04258,1.00867
29,100,1,1,1,1,0,1,7.76,0.930358,1.77267
30,100,1,1,0,1,0,0,6.64,0.829982,1.47933
