seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,1,1,1,1,1,9.09143,0.395685,1.346
2,100,1,1,1,1,0,0,8.06286,0.384808,1.23571
3,100,1,1,1,1,1,1,9.34857,0.419465,1.34086
4,100,0,1,0,1,0,0,7.49714,0.418646,1.22657
5,100,0,1,1,1,1,1,8.53143,0.392485,1.312
6,100,1,1,1,1,1,1,9.74857,0.381752,1.42114
7,100,1,1,0,1,0,1,9.86286,0.39425,1.486
8,100,1,0,1,1,1,1,7.61714,0.409272,1.18771
9,100,1,1,0,1,0,1,7.75429,0.403167,1.204
10,100,0,1,1,1,0,0,10.0343,0.402979,1.384
11,100,1,1,1,1,1,0,7.26286,0.407538,1.18743
12,100,1,0,0,1,1,1,7.00571,0.413371,1.18771
13,100,1,0,1,1,0,1,5.50857,0.406687,0.966286
14,100,1,1,0,1,1,0,7.85143,0.382066,1.23086
15,100,0,0,0,1,1,1,6.54857,0.415237,1.14114
16,100,1,1,0,1,0,1,11.4514,0.380188,1.60971
17,100,0,1,1,1,1,0,9.70857,0.401442,1.39057
18,100,1,1,0,1,1,1,7.91429,0.424997,1.35371
19,100,1,1,0,1,0,0,9.48571,0.421891,1.434
20,100,1,1,0,1,0,1,8.94857,0.41416,1.35714
21,100,0,1,1,1,1,1,7.90857,0.395585,1.19886
22,100,1,1,0,1,0,1,5.53714,0.384638,0.959714
23,100,1,1,0,1,1,1,6.96571,0.413075,1.102
24,100,1,1,0,1,1,1,9.25714,0.375847,1.31971
25,100,0,1,0,1,0,0,9.29143,0.435273,1.46314
26,100,1,1,1,1,0,1,6.28571,0.398206,1.132
27,100,1,1,0,1,1,1,9.08,0.387107,1.28314
28,100,1,1,1,1,0,1,8.54857,0.375705,1.32771
29,100,0,1,0,1,1,1,9.13143,0.425892,1.40343
30,100,0,1,1,1,0,1,7.58286,0.419461,1.19657
