seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,1,1,1,0,1,8.27333,0.427637,1.341
2,100,1,1,1,1,0,1,7.99333,0.468598,1.237
3,100,1,1,1,1,0,1,8.09333,0.492415,1.34367
4,100,1,1,0,1,0,1,7.13333,0.496013,1.23133
5,100,1,1,0,1,0,1,7.4,0.500224,1.221
6,100,0,1,1,1,0,1,8.24,0.484941,1.32833
7,100,1,1,0,1,1,1,7.84,0.465417,1.34933
8,100,1,1,1,1,0,1,7.50667,0.477141,1.256
9,100,1,1,0,1,0,0,7.92667,0.483611,1.34567
10,100,0,1,0,1,0,1,6.39333,0.462319,1.18533
11,100,0,1,0,1,0,0,7.42,0.411489,1.261
12,100,1,1,1,1,0,1,5.96,0.465842,1.09833
13,100,1,1,1,1,0,0,9.51333,0.473061,1.45933
14,100,1,0,0,1,0,1,6.86,0.447685,1.20167
15,100,1,1,0,1,1,1,6.88667,0.477688,1.16467
16,100,0,1,0,1,1,1,6.84667,0.421657,1.18567
17,100,0,1,0,1,1,0,8.26,0.496161,1.314
18,100,1,1,1,1,1,1,9.36,0.457531,1.55533
19,100,1,1,1,1,0,0,8.70667,0.410226,1.38633
20,100,1,1,0,1,0,1,7.64,0.468728,1.28767
21,100,1,1,0,1,0,1,9.29333,0.485323,1.599
22,100,0,0,1,1,0,1,7.74667,0.480456,1.297
23,100,1,1,0,1,0,0,5.30667,0.457724,1.01433
24,100,0,1,1,1,0,1,8.38667,0.443019,1.369
25,100,1,1,0,1,0,0,7.78667,0.497083,1.281
26,100,1,0,1,1,0,1,6.78667,0.455657,1.18433
27,100,0,1,0,1,1,1,6.68667,0.457799,1.189
28,100,1,1,1,1,0,1,7.66,0.450711,1.31933
29,100,1,1,0,1,0,1,7.22,0.499491,1.24567
30,100,1,1,1,1,0,0,8.1,0.508037,1.33633
