seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,1,1,0,0,1,5.92,1.76127,1.585
2,100,0,1,1,1,0,1,4.7,1.06424,1.367
3,100,1,1,1,0,1,0,4.78,1.31743,1.522
4,100,1,1,1,1,1,0,5.62,1.44462,1.723
5,100,1,1,1,1,1,1,4.42,1.50224,1.446
6,100,1,1,1,0,1,1,5.76,1.34388,1.813
7,100,0,1,1,1,1,1,3.88,1.35004,1.195
8,100,0,1,1,0,0,1,6.02,1.50422,1.793
9,100,1,1,0,1,0,1,5,1.26145,1.665
10,100,1,1,1,0,0,1,6.3,1.11909,1.851
11,100,0,1,1,0,0,1,4.36,1.32192,1.431
12,100,0,1,1,1,1,1,3.82,1.72566,1.334
13,100,0,1,1,0,0,1,4.84,1.41628,1.577
14,100,1,1,1,0,1,1,5.46,1.5226,1.562
15,100,1,1,1,0,0,1,4.38,1.65328,1.475
16,100,1,1,1,0,0,0,4.64,1.45654,1.394
17,100,0,1,1,1,0,0,5.04,1.45048,1.478
18,100,0,1,1,0,0,0,3.44,1.47435,1.334
19,100,1,1,1,1,0,1,3.3,1.62419,1.106
20,100,1,1,1,1,1,1,5.48,1.53772,1.457
21,100,0,1,1,1,0,1,4.1,1.34738,1.416
22,100,1,1,1,0,1,1,6.38,1.46805,1.6
23,100,0,1,1,1,0,1,4.92,1.33128,1.491
24,100,0,1,1,0,0,0,5.32,1.35124,1.664
25,100,1,1,1,1,1,1,4.74,1.53807,1.371
26,100,1,1,0,0,0,0,4.3,1.26752,1.303
27,100,1,1,1,1,0,1,6.66,1.54355,1.874
28,100,1,1,0,1,0,1,4.02,1.52983,1.27
29,100,1,1,1,1,1,1,4.84,1.30238,1.555
30,100,0,0,0,1,0,1,6.66,1.33426,1.659
