seed,time,degDist,degDistTime,avgDeg,avgNNDistance,avgRange
1,100,0,0,0.22,0.758818,0.503
2,100,0,0,0.34,0.725543,0.505
3,100,0,0,0.17,0.706415,0.501
4,100,0,0,0.28,0.77009,0.4975
5,100,0,0,0.12,0.776041,0.5005
6,100,0,0,0.2,0.720058,0.4845
7,100,0,0,0.23,0.740173,0.494
8,100,0,0,0.18,0.747472,0.5175
9,100,1,0,0.75,0.643478,0.544
10,100,0,0,0.56,0.672084,0.5075
11,100,0,0,0.23,0.710465,0.466
12,100,0,0,0.21,0.690477,0.522
13,100,0,0,0.3,0.722047,0.519
14,100,0,0,0.29,0.751749,0.525
15,100,0,0,0.18,0.77134,0.4995
16,100,0,0,0.24,0.628994,0.4695
17,100,0,0,0.3,0.74061,0.505
18,100,0,0,0.18,0.733222,0.4985
19,100,0,0,0.26,0.692728,0.515
20,100,0,0,0.22,0.689493,0.47
21,100,0,0,0.17,0.733197,0.5045
22,100,0,0,0.23,0.829504,0.533
23,100,0,0,0.28,0.620052,0.4685
24,100,0,0,0.37,0.716751,0.487
25,100,0,0,0.34,0.769178,0.503
26,100,0,0,0.48,0.739307,0.5205
27,100,0,0,0.35,0.690193,0.4825
28,100,0,0,0.25,0.718272,0.5075
29,100,0,0,0.39,0.767215,0.5035
30,100,1,0,1.15,0.732032,0.577
