seed,time,degDist,degDistTime,avgDeg,avgNNDistance,avgRange
1,100,0,1,5.54,0.708173,1.443
2,100,0,0,4.86,0.661296,1.37
3,100,0,0,5.79,0.69894,1.4195
4,100,0,1,6.6,0.729457,1.513
5,100,0,1,5.09,0.707186,1.3725
6,100,0,1,5.53,0.697971,1.4075
7,100,0,0,5.27,0.667504,1.404
8,100,0,1,6.27,0.695352,1.4325
9,100,0,0,5.8,0.675811,1.4195
10,100,0,1,5.64,0.642075,1.3865
11,100,0,0,5.28,0.705548,1.381
12,100,1,1,4.19,0.647784,1.321
13,100,1,1,5.58,0.72827,1.4095
14,100,0,1,5.82,0.734337,1.4615
15,100,0,0,6.16,0.74428,1.4455
16,100,0,1,6.42,0.622957,1.3985
17,100,0,1,5.87,0.693276,1.3835
18,100,1,1,5.84,0.700354,1.4405
19,100,1,1,5.12,0.620962,1.369
20,100,0,0,5.51,0.651569,1.4155
21,100,0,1,5.4,0.700955,1.412
22,100,0,1,6.01,0.830508,1.4625
23,100,1,0,5.7,0.616318,1.3965
24,100,0,1,5.47,0.702794,1.3805
25,100,0,1,5.78,0.69676,1.4455
26,100,0,1,5.77,0.706833,1.4415
27,100,0,0,6.33,0.704949,1.455
28,100,0,1,5.51,0.69958,1.4045
29,100,0,1,6.07,0.688865,1.451
30,100,1,1,4.64,0.691126,1.3705
